You entered 0.5  with key fdecstp_0_0_0 
You entered 0.5  with key fincstp_0_0_0 
You entered 1  with key fnstcw_0_0_0 
You entered 2  with key fldcw_0_0_0 
You entered 1.5  with key fnstsw_0_0_0 
You entered 2  with key FCMOVcc_0_0_0 
You entered 2  with key fldl2e_0_0_0 
You entered 2  with key fldpi_0_0_0 
You entered 2  with key fild1_0_0_0 
You entered 1  with key fldz_0_0_0 
You entered 2  with key fisttp_0_0_0 
You entered 1  with key fistp_0_0_0 
You entered 1  with key fist_0_0_0 
You entered 1  with key fild_0_0_0 
You entered 0.5  with key fxch_0_0_0 
You entered 266  with key fbstp_0_0_0 
You entered 1  with key fstp_m_0_0 
You entered 1  with key fst_m_0_0 
You entered 0.5  with key fstp_r_0_0 
You entered 0.5  with key fst_r_0_0 
You entered 22  with key fbld_0_0_0 
You entered 0.5  with key fld_m_0_0 
You entered 0.5  with key fld_r_0_0 
You entered 175  with key cpuid_0_0_0 
You entered 32  with key rdtscp_0_0_0 
You entered 460  with key rdseed_0_0_0 
You entered 460  with key rdrand_0_0_0 
You entered 40  with key rdpmc_0_0_0 
You entered 25  with key rdtsc_0_0_0 
You entered 9  with key xgetbv_0_0_0 
You entered 5  with key leave_0_0_0 
You entered 8  with key enter_0_0_0 
You entered 9  with key pause_0_0_0 
You entered 0.25  with key longnop_0_0_0 
You entered 0.25  with key nop_0_0_0 
You entered 26  with key lockcmpxchg16b_0_0_0 
You entered 16  with key cmpxchg16b_0_0_0 
You entered 19  with key lockcmpxchg8b_0_0_0 
You entered 11  with key cmpxchg8b_0_0_0 
You entered 18  with key lockcmpxchg_0_0_0 
You entered 6  with key cmpxchg_0_0_0 
You entered 18  with key lockadd_0_0_0 
You entered 18  with key lockxadd_0_0_0 
You entered 5  with key xadd_0_0_0 
You entered 25  with key repcmps_0_0_0 
You entered 4  with key cmps_0_0_0 
You entered 25  with key repscas_0_0_0 
You entered 1  with key scas_0_0_0 
You entered 10  with key repmovs_0_0_0 
You entered 4  with key movs_0_0_0 
You entered 5  with key stos_0_0_0 
You entered 5  with key repstos_0_0_0 
You entered 20  with key replods_0_0_0 
You entered 20  with key lods_0_0_0 
You entered 20  with key rep_0_0_0 
You entered 1  with key lodsq_0_0_0 
You entered 1  with key lodsd_0_0_0 
You entered 1  with key lodsw_0_0_0 
You entered 1  with key lodsb_0_0_0 
You entered 6  with key into_0_0_0 
You entered 8  with key bound_0_0_0 
You entered 2  with key ret_0_I_0 
You entered 2  with key ret_I_0_0 
You entered 1  with key ret_0_0_0 
You entered 2  with key retq_0_I_0 
You entered 2  with key retq_I_0_0 
You entered 1  with key retq_0_0_0 
You entered 3  with key call_0_m_0 
You entered 3  with key call_m_0_0 
You entered 2  with key call_0_0_0 
You entered 3  with key callq_0_m_0 
You entered 3  with key callq_m_0_0 
You entered 2  with key callq_0_0_0 
You entered 6  with key loopne_0_0_0 
You entered 6  with key loope_0_0_0 
You entered 5  with key loop_0_0_0 
You entered 1  with key jrcxz_0_0_0 
You entered 1  with key jecxz_0_0_0 
You entered 1  with key jns_0_0_0 
You entered 1  with key js_0_0_0 
You entered 1  with key jpo_0_0_0 
You entered 1  with key jnp_0_0_0 
You entered 1  with key jpe_0_0_0 
You entered 1  with key jp_0_0_0 
You entered 1  with key jo_0_0_0 
You entered 1  with key jnc_0_0_0 
You entered 1  with key jc_0_0_0 
