name,op1,op2,op3,weight,
rcpps,,,,1,
rcpsps,,,,1,
,,,,,
CMPccSS,,,,0.5,
CMPccSD,,,,0.5,
CMPccPS,,,,0.5,
CMPccPD,,,,0.5,
comiss,,,,1,
comisd,,,,1,
ucomiss,,,,1,
ucomisd,,,,1,
maxss,,,,0.5,
maxsd,,,,0.5,
maxps,,,,0.5,
maxpd,,,,0.5,
minss,,,,0.5,
minsd,,,,0.5,
minps,,,,0.5,
minpd,,,,0.5,
roundss,,,,1,
roundsd,,,,1,
roundps,,,,1,
roundpd,,,,1,
dpps,,,,1.5,
dppd,,,,1,
vfmadd,,,,0.5,
vfnmadd,,,,0.5,
vfmsub,,,,0.5,
vfnmsub,,,,0.5,
sqrtss,,,,3,
sqrtps,,,,3,
vsqrtps,,,,6,
sqrtsd,,,,5,
sqrtpd,,,,5,
vsqrtpd,,,,5,
rsqrtss,,,,1,
rsqrtps,,,,1,
,,,,,
andps,,m,,0.5,
andpd,,m,,0.5,
andnps,,m,,0.5,
andnpd,,m,,0.5,
orps,,m,,0.5,
orpd,,m,,0.5,
xorps,,m,,0.5,
xorpd,,m,,0.5,
andpd,,,,0.33,
andnps,,,,0.33,
andnpd,,,,0.33,
orps,,,,0.33,
orpd,,,,0.33,
xorps,,,,0.33,
xorpd,,,,0.33,
andps,,,,0.33,
andps,,,m,0.5,
andpd,,,m,0.5,
andnps,,,m,0.5,
andnpd,,,m,0.5,
orps,,,m,0.5,
orpd,,,m,0.5,
xorps,,,m,0.5,
xorpd,,,m,0.5,
,,,,,
,,,,,
vzeroupper,,,,1,
vzeroall,,,,12,
ldmxcsr,,,,3,
stmxcsr,,,,2,
fxsave,,,,71,
fxrstor,,,,76.5,
xsave,,,,107,
xrstor,,,,122,
xsaveopt,,,,74,
